id_console,name,manufacturer,release_year
1,PS3,Sony,2006
2,PS4,Sony,2013
3,PS2,Sony,2000
4,X360,Various,2000
5,XOne,Various,2000
6,PC,Various,1970
7,PSP,Sony,1994
8,Wii,Nintendo,2006
9,PS,Sony,1994
10,DS,Nintendo,2004
11,2600,Various,2000
12,GBA,Various,2001
13,NES,Various,2000
14,XB,Various,2000
15,PSN,Sony,1994
16,GEN,Various,2000
17,PSV,Sony,1994
18,DC,Various,2000
19,N64,Various,2000
20,SAT,Various,2000
21,SNES,Various,2000
22,GBC,Various,2000
23,GC,Various,2000
24,NS,Various,2000
25,3DS,Nintendo,2011
26,GB,Various,2000
27,WiiU,Nintendo,2006
28,WS,Various,2000
29,VC,Various,2000
30,NG,Various,2000
31,WW,Various,2000
32,SCD,Various,2000
33,PCE,Various,1970
34,XBL,Various,2000
35,3DO,Various,2000
36,GG,Various,2000
37,OSX,Various,2000
38,Mob,Various,2000
39,PCFX,Various,1970
40,Series,Various,2000
41,All,Various,2000
42,iOS,Various,2000
43,5200,Various,2000
44,And,Various,2000
45,DSiW,Nintendo,2004
46,Lynx,Various,2000
47,Linux,Various,2000
48,MS,Various,2000
49,ZXS,Various,2000
50,ACPC,Various,1970
51,Amig,Various,2000
52,7800,Various,2000
53,DSi,Nintendo,2004
54,AJ,Various,2000
55,WinP,Various,2000
56,iQue,Various,2000
57,GIZ,Various,2000
58,VB,Various,2000
59,Ouya,Various,2000
60,NGage,Various,2000
61,AST,Various,2000
62,MSD,Various,2000
63,S32X,Various,2000
64,XS,Various,2000
65,PS5,Sony,2020
66,Int,Various,2000
67,CV,Various,2000
68,Arc,Various,2000
69,C64,Various,2000
70,FDS,Nintendo,2004
71,MSX,Various,2000
72,OR,Various,2000
73,C128,Various,2000
74,CDi,Various,2000
75,CD32,Various,2000
76,BRW,Various,2000
77,FMT,Various,2000
78,ApII,Various,2000
79,Aco,Various,2000
80,BBCM,Various,2000
81,TG16,Various,2000
