id_sale,id_videojuego,total_sales,na_sales,jp_sales,pal_sales,other_sales
1,1,19.72,13.2,0.22,0.51,5.79
2,2,4.76,0.88,1.26,1.39,1.23
3,3,18.56,12.01,4.18,0.29,2.08
4,4,8.77,3.58,2.01,1.35,1.83
5,5,5.77,5.24,0.09,0.4,0.04
6,6,18.18,11.56,0.39,0.96,5.27
7,7,16.75,4.99,7.86,2.36,1.54
8,8,15.19,3.79,8.36,1.91,1.13
9,9,15.27,2.11,5.43,6.74,0.99
10,10,12.19,5.33,0.96,1.23,4.67
11,11,18.36,12.78,0.74,2.77,2.07
12,12,6.57,3.13,1.85,0.51,1.08
13,13,5.61,2.26,1.13,0.97,1.25
14,14,10.78,2.27,6.24,1.72,0.55
15,15,4.65,2.47,0.49,0.43,1.26
16,16,9.6,1.18,1.3,3.7,3.42
17,17,5.13,2.35,0.98,1.53,0.27
18,18,1.62,0.42,0.18,0.98,0.04
19,19,18.98,6.7,2.22,0.96,9.1
20,20,16.7,4.41,8.38,1.24,2.67
21,21,6.98,4.08,2.54,0.25,0.11
22,22,10.29,5.39,0.99,3.01,0.9
23,23,8.26,3.09,2.18,1.28,1.71
24,24,19.28,2.52,9.47,2.94,4.35
25,25,12.21,5.32,2.03,4.8,0.06
26,26,3.89,0.66,2.08,0.8,0.35
27,27,5.24,0.61,1.11,1.46,2.06
28,28,1.38,0.45,0.22,0.14,0.57
29,29,10.43,1.78,2.14,1.84,4.67
30,30,2.41,1.19,0.04,0.88,0.3
31,31,13.83,1.28,2.02,3.62,6.91
32,32,7.4,3.94,0.35,2.35,0.76
33,33,0.62,0.15,0.21,0.06,0.2
34,34,17.36,2.48,3.42,5.84,5.62
35,35,5.42,2.21,1.35,1.81,0.05
36,36,9.6,4.99,1.9,1.15,1.56
37,37,9.39,3.32,2.55,2.72,0.8
38,38,17.3,6.27,2.7,1.32,7.01
39,39,9.22,3.55,1.72,2.29,1.66
40,40,2.4,1.21,0.18,0.6,0.41
41,41,10.31,3.69,0.66,0.47,5.49
42,42,19.51,6.65,8.15,2.0,2.71
43,43,5.06,2.41,1.35,0.49,0.81
44,44,0.77,0.23,0.2,0.01,0.33
45,45,9.31,3.88,0.6,3.09,1.74
46,46,10.44,4.86,0.61,0.09,4.88
47,47,9.17,4.68,1.16,1.27,2.06
48,48,1.31,0.78,0.06,0.32,0.15
49,49,14.21,7.45,0.03,0.68,6.05
50,50,0.25,0.16,0.0,0.07,0.02
51,51,12.54,7.0,3.61,1.17,0.76
52,52,17.41,5.4,7.08,3.77,1.16
53,53,6.27,2.63,1.35,0.72,1.57
